IndicatorID,Year,YearRange,Quarter,Month,AgeID,SexID,AreaCode,Count,Value,ExpectedValue,LowerCI,UpperCI,Denominator,Denominator_2,ValueNoteID,categorytypeid,categoryid
90630,2009,1,-1,-1,199,4,E92000001,195120,17.10363689,-1,17.03465161,17.17284371,1140810,-1,0,2,8
90630,2010,1,-1,-1,199,4,E92000001,190685,16.60556291,-1,16.53761151,16.67373774,1148320,-1,0,2,8
90630,2011,1,-1,-1,199,4,E92000001,186705,16.24157279,-1,16.17426194,16.30910926,1149550,-1,0,2,8
90630,2006,1,-1,-1,199,4,E92000001,207025,13.30537614,-1,13.2521013,13.35883216,1555950,-1,0,2,9
90630,2007,1,-1,-1,199,4,E92000001,214750,13.68283227,-1,13.62915535,13.73668696,1569485,-1,0,2,9
90630,2008,1,-1,-1,199,4,E92000001,212290,13.47056229,-1,13.41734841,13.52395426,1575955,-1,0,2,9
90630,2009,1,-1,-1,199,4,E92000001,228705,14.32396377,-1,14.26971167,14.37838755,1596660,-1,0,2,9
90630,2010,1,-1,-1,199,4,E92000001,224585,13.9802048,-1,13.92666554,14.03391633,1606450,-1,0,2,9
90630,2011,1,-1,-1,199,4,E92000001,218870,13.60142185,-1,13.5485433,13.65447419,1609170,-1,0,2,9
10101,2006,1,-1,-1,169,4,E92000001,612300,36.2028138,-1,36.13041679,36.27527349,1691305,-1,0,3,1
10101,2007,1,-1,-1,169,4,E92000001,628755,37.38261358,-1,37.30952444,37.45576035,1681945,-1,0,3,1
10101,2008,1,-1,-1,169,4,E92000001,593510,34.97201108,-1,34.90029799,35.0437922,1697100,-1,0,3,1
10101,2009,1,-1,-1,169,4,E92000001,591160,33.96475746,-1,33.89443516,34.03515053,1740510,-1,0,3,1
10101,2010,1,-1,-1,169,4,E92000001,567995,32.27345173,-1,32.20441869,32.34256215,1759945,-1,0,3,1
10101,2011,1,-1,-1,169,4,E92000001,555120,31.23547583,-1,31.16737914,31.30365364,1777210,-1,0,3,1
10101,2006,1,-1,-1,169,4,E92000001,57165,8.996199454,-1,8.926095861,9.066798812,635435,-1,0,3,10
10101,2007,1,-1,-1,169,4,E92000001,58085,9.090197735,-1,9.019958771,9.160928581,638985,-1,0,3,10
10101,2008,1,-1,-1,169,4,E92000001,57040,8.924911205,-1,8.855260301,8.99505588,639110,-1,0,3,10
10101,2009,1,-1,-1,169,4,E92000001,61870,9.573694391,-1,9.502198862,9.645670523,646250,-1,0,3,10
10101,2010,1,-1,-1,169,4,E92000001,60195,9.294874269,-1,9.224397948,9.365833489,647615,-1,0,3,10
10101,2011,1,-1,-1,169,4,E92000001,58825,9.067087973,-1,8.997459361,9.137201319,648775,-1,0,3,10
10101,2006,1,-1,-1,169,4,E92000001,354805,26.57347109,-1,26.49861335,26.64846363,1335185,-1,0,3,2
10101,2007,1,-1,-1,169,4,E92000001,363720,27.39195759,-1,27.31616882,27.46787716,1327835,-1,0,3,2
10101,2008,1,-1,-1,169,4,E92000001,352870,26.50776182,-1,26.43285158,26.58280765,1331195,-1,0,3,2
10101,2009,1,-1,-1,169,4,E92000001,359995,26.63906525,-1,26.56459828,26.71366504,1351380,-1,0,3,2
10101,2010,1,-1,-1,169,4,E92000001,349200,25.79406116,-1,25.72043288,25.86782681,1353800,-1,0,3,2
10101,2011,1,-1,-1,169,4,E92000001,344710,25.34399412,-1,25.27096194,25.41716557,1360125,-1,0,3,2
10101,2006,1,-1,-1,169,4,E92000001,271160,24.9048251,-1,24.82368218,24.98614511,1088785,-1,0,3,3
10101,2007,1,-1,-1,169,4,E92000001,280015,25.75715068,-1,25.6750344,25.83943828,1087135,-1,0,3,3
10101,2008,1,-1,-1,169,4,E92000001,270855,24.7172196,-1,24.6365426,24.79807387,1095815,-1,0,3,3
10101,2009,1,-1,-1,169,4,E92000001,278585,24.89566671,-1,24.81563583,24.97586994,1119010,-1,0,3,3
10101,2010,1,-1,-1,169,4,E92000001,271290,24.01402124,-1,23.93533932,24.09287987,1129715,-1,0,3,3
10101,2011,1,-1,-1,169,4,E92000001,266905,23.42175928,-1,23.34409151,23.49960623,1139560,-1,0,3,3
10101,2006,1,-1,-1,169,4,E92000001,219895,21.92602416,-1,21.84515631,22.00710707,1002895,-1,0,3,4
10101,2007,1,-1,-1,169,4,E92000001,225080,22.4226817,-1,22.34119776,22.5043767,1003805,-1,0,3,4
10101,2008,1,-1,-1,169,4,E92000001,219925,21.83138438,-1,21.75082258,21.91216101,1007380,-1,0,3,4
10101,2009,1,-1,-1,169,4,E92000001,229580,22.43131278,-1,22.35060375,22.51222875,1023480,-1,0,3,4
10101,2010,1,-1,-1,169,4,E92000001,223435,21.65833846,-1,21.57895746,21.73793054,1031635,-1,0,3,4
10101,2011,1,-1,-1,169,4,E92000001,218620,21.04634875,-1,20.96806493,21.12484672,1038755,-1,0,3,4
10101,2006,1,-1,-1,169,4,E92000001,147985,18.71522157,-1,18.62940523,18.80134188,790720,-1,0,3,5
10101,2007,1,-1,-1,169,4,E92000001,151985,19.23386,-1,19.14710783,19.32091129,790195,-1,0,3,5
10101,2008,1,-1,-1,169,4,E92000001,148630,18.80987636,-1,18.72386277,18.89619321,790170,-1,0,3,5
10101,2009,1,-1,-1,169,4,E92000001,155810,19.4719905,-1,19.3853742,19.55889991,800175,-1,0,3,5
10101,2010,1,-1,-1,169,4,E92000001,151405,18.88997018,-1,18.80442613,18.97581244,801510,-1,0,3,5
10101,2011,1,-1,-1,169,4,E92000001,148915,18.49439263,-1,18.40973972,18.57934615,805190,-1,0,3,5
10101,2006,1,-1,-1,169,4,E92000001,154280,17.44025683,-1,17.36132489,17.51947156,884620,-1,0,3,6
10101,2007,1,-1,-1,169,4,E92000001,157610,17.74597616,-1,17.66665826,17.82557308,888145,-1,0,3,6
10101,2008,1,-1,-1,169,4,E92000001,154550,17.36390039,-1,17.28534653,17.44273595,890065,-1,0,3,6
10101,2009,1,-1,-1,169,4,E92000001,162585,17.97363403,-1,17.89464385,18.05289621,904575,-1,0,3,6
10101,2010,1,-1,-1,169,4,E92000001,158210,17.37864824,-1,17.30094765,17.45662414,910370,-1,0,3,6
10101,2011,1,-1,-1,169,4,E92000001,155040,16.92317768,-1,16.84653642,17.00009633,916140,-1,0,3,6
10101,2006,1,-1,-1,169,4,E92000001,108370,14.47906368,-1,14.39952544,14.55896654,748460,-1,0,3,7
10101,2007,1,-1,-1,169,4,E92000001,110505,14.69559551,-1,14.61575006,14.77580167,751960,-1,0,3,7
10101,2008,1,-1,-1,169,4,E92000001,108405,14.41536682,-1,14.33616202,14.49493517,752010,-1,0,3,7
10101,2009,1,-1,-1,169,4,E92000001,115025,15.14562979,-1,15.06517986,15.22643232,759460,-1,0,3,7
10101,2010,1,-1,-1,169,4,E92000001,112925,14.82967379,-1,14.75002808,14.90967435,761480,-1,0,3,7
10101,2011,1,-1,-1,169,4,E92000001,110550,14.46298562,-1,14.38431384,14.54201458,764365,-1,0,3,7
